reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_cleaned
487108f3-ef8f-40a5-bd46-8f54876a0ed3,Leroy Gupta,https://play-lh.googleusercontent.com/a-/ALV-UjXZNivwDsIgxa3_V-3bfoawgVwRNN13U5EVLxPWGxL2UJGW0dHZ,very trash game pairs u with pay 2 win players people are skill less,1,0,3.3314.5,2025-11-30 06:06:16,,,3.3314.5,trash game pair pay win player people skill less
1656c771-7b01-4513-ae7e-dc9deaae1a6a,Evan,https://play-lh.googleusercontent.com/a/ACg8ocIFj40oAO2sk-7jbaBiFigsMhZbmlhISDuWEJXQF1l8oGVb-g=mo,too pay to win,1,0,130300006,2025-11-30 06:06:01,,,130300006,pay win
5049908d-8cdb-4265-aedb-d72aadad45ac,David Gomes,https://play-lh.googleusercontent.com/a/ACg8ocKIYL9iBr1hDs6GufOyXs46iUAW3CS_VFoln_w6hEc0SwSOGg=mo,MEGAKNIGHTTTTTTTT,1,0,120169018,2025-11-30 06:02:28,,,120169018,megaknightttttttt
a4c662a9-17b2-4275-afc0-24607ae2ea2e,owen Nannini,https://play-lh.googleusercontent.com/a/ACg8ocLNYkylZo2BzPjhV89ZANTYdC05Wdao6vShdy7gusDpHKuDUQ=mo,Fun but a bit pay to win i would say myself and the gems are a bad currency item and should be fully subbed with gold for everything so that all users are able to be less ptw,4,0,130300006,2025-11-30 06:00:24,,,130300006,fun bit pay win would say gem bad currency item fully sub gold everything user able less ptw
e1dc9c3d-b5b5-47e6-89ea-4972ce96ab40,OptiMystic1611 - IN,https://play-lh.googleusercontent.com/a-/ALV-UjX1EOpUE6ctHPfXD0CvpPLC5tgiytlYsgy4y_lOzzM0qE9nn30,Where is 2vs2 mode??? That was like the strongest selling point. Atleast let people play it without winning/losing trophies - some casual mode!!!!,1,0,,2025-11-30 05:58:05,,,,mode like strong selling point atleast let people play without winninglosing trophy casual mode
0cf45b9d-9e7d-4e9d-af76-a9353cb0ffab,Nathan Williams,https://play-lh.googleusercontent.com/a-/ALV-UjVXPjnz25BatS5RfrEeiJ-12Gxd6td1WwsU2jLatcg14wx4e4gwdg,Used to be a great game. turned into a money grab,3,0,1.2.3,2025-11-30 05:51:12,,,1.2.3,use great game turn money grab
7c798171-5d13-4dbe-9156-66afeef0f021,Nathan Santa,https://play-lh.googleusercontent.com/a/ACg8ocJJCqliyuMDBeCD6ybDbDbgy7M1-7E3uFJtPGRlfVII_xssIA=mo,el juego es chingon,5,0,130300006,2025-11-30 05:48:42,,,130300006,juego chingon
42c7d92f-bb4e-4450-85a6-089be53ed553,Christopher,https://play-lh.googleusercontent.com/a-/ALV-UjWCB0XqdM_C3YFNfpm2hi-0O_8zNfXtfszPSnj5auTtHEBH7_0,"This game has the power to be amazing. The gameplay is fun but supercell has been causing it some major problems. They are coming out with heroes which will comepletely unbalance the game. If they were to listen to the community it would be a near perfect game. Problem is they just make it more p2w with every update that comes out. First evos dropped, now heroes. Soon every slot will have a special thing and f2p will be almost comepletely dead. But try it out its not a bad game its a bad dev.",4,0,130300006,2025-11-30 05:44:07,,,130300006,game power amaze gameplay fun supercell cause major problem come hero comepletely unbalance game listen community would near perfect game problem make every update come first evos drop hero soon every slot special thing almost comepletely dead try bad game bad dev
5a199671-e4bc-4f2a-8fa0-86a81cc31b0b,Camden,https://play-lh.googleusercontent.com/a/ACg8ocIIdLv1XO96ttPdE0b7VuEhce--e5Sf7xb8o1vZn2R_8-tAbA=mo,great game now download faster please imk just trying to play clash,5,0,120169018,2025-11-30 05:38:41,,,120169018,great game download faster please imk try play clash
3eaacbfa-c1e0-45fd-aadc-05210879eddd,Jose Gamaliel Calderon,https://play-lh.googleusercontent.com/a-/ALV-UjWjodhKq7_JJ9pYZ4tZfyk5xxk80IB8Uyevfo8aRej4mREcKVbS,mini pekka is goat... :3,5,0,,2025-11-30 05:27:23,,,,mini pekka goat
